report_period,federal_district,region,административный_персонал,доля_людей_питающихся_в_столовой,доход_банка,количество_клиентов,общее_количество_людей_в_вузе,объем_транзакций,средний_тариф_банка,средняя_стоимость_обеда,студенты
Сентябрь 2023,Приволжский ФО,Самарская обл.,1764,76.39,171296.84,28146,36846,8156992.26,2.1,289.81,35082
Октябрь 2023,Приволжский ФО,Самарская обл.,1845,73.32,255813.13,27261,37182,8121051.9,3.15,297.9,35337
Ноябрь 2023,Приволжский ФО,Самарская обл.,1799,73.43,208572.81,27900,37996,8211528.0,2.54,294.32,36197
Декабрь 2023,Приволжский ФО,Самарская обл.,1778,49.1,138316.15,17885,36426,5424162.8,2.55,303.28,34648
Январь 2024,Приволжский ФО,Самарская обл.,1972,64.53,224426.18,26446,40983,8220739.1,2.73,310.85,39011
Февраль 2024,Приволжский ФО,Самарская обл.,2045,71.98,166445.94,29684,41240,9733680.44,1.71,327.91,39195
Март 2024,Приволжский ФО,Самарская обл.,1856,66.18,307977.59,26343,39806,8849930.85,3.48,335.95,37950
Апрель 2024,Приволжский ФО,Самарская обл.,1845,70.01,259064.09,28020,40023,9089968.2,2.85,324.41,38178
Май 2024,Приволжский ФО,Самарская обл.,1943,56.62,172862.95,22368,39506,6998499.84,2.47,312.88,37563
Июнь 2024,Приволжский ФО,Самарская обл.,1960,27.4,74569.31,11137,40648,3374176.89,2.21,302.97,38688
Июль 2024,Приволжский ФО,Самарская обл.,1932,13.77,49438.49,5671,41186,1844719.59,2.68,325.29,39254
Август 2024,Приволжский ФО,Самарская обл.,1974,16.31,65155.78,6680,40961,2246751.2,2.9,336.34,38987
Сентябрь 2024,Приволжский ФО,Самарская обл.,1962,74.16,296214.46,29313,39528,9114291.09,3.25,310.93,37566
Октябрь 2024,Приволжский ФО,Самарская обл.,1876,75.92,212771.82,30840,40623,9171199.2,2.32,297.38,38747
Ноябрь 2024,Приволжский ФО,Самарская обл.,1960,70.24,132050.63,27895,39715,8101265.9,1.63,290.42,37755
Декабрь 2024,Приволжский ФО,Самарская обл.,1901,46.63,181450.84,18687,40076,5465386.89,3.32,292.47,38175
Январь 2022,Приволжский ФО,Пермский край,1444,67.62,111896.19,19933,29479,5253342.15,2.13,263.55,28035
Февраль 2022,Приволжский ФО,Пермский край,1442,73.72,88255.65,22315,30271,5844744.8,1.51,261.92,28829
Март 2022,Приволжский ФО,Пермский край,1438,66.68,114097.84,20025,30032,5565748.5,2.05,277.94,28594
Апрель 2022,Приволжский ФО,Пермский край,1431,69.7,114411.65,20778,29811,5500559.94,2.08,264.73,28380
Май 2022,Приволжский ФО,Пермский край,1359,55.52,104802.37,16644,29980,4478733.96,2.34,269.09,28621
Июнь 2022,Приволжский ФО,Пермский край,1358,26.74,43033.16,7722,28881,2001542.4,2.15,259.2,27523
Июль 2022,Приволжский ФО,Пермский край,1483,13.55,22011.57,4040,29817,973963.2,2.26,241.08,28334
Август 2022,Приволжский ФО,Пермский край,1422,17.0,28447.74,5115,30090,1236858.15,2.3,241.81,28668
Сентябрь 2022,Приволжский ФО,Пермский край,1433,72.68,202084.55,21618,29745,5807027.16,3.48,268.62,28312
Октябрь 2022,Приволжский ФО,Пермский край,1386,74.66,91796.2,22019,29493,5306138.62,1.73,240.98,28107
Ноябрь 2022,Приволжский ФО,Пермский край,1302,66.92,165962.78,19143,28606,5235419.07,3.17,273.49,27304
Декабрь 2022,Приволжский ФО,Пермский край,1347,46.45,106518.93,13277,28584,3403160.64,3.13,256.32,27237
Январь 2023,Приволжский ФО,Пермский край,1576,68.16,138764.26,22094,32416,6394666.42,2.17,289.43,30840
Февраль 2023,Приволжский ФО,Пермский край,1556,69.18,161207.4,22807,32969,5970644.53,2.7,261.79,31413
Март 2023,Приволжский ФО,Пермский край,1594,72.43,179330.66,23364,32258,6141461.04,2.92,262.86,30664
Апрель 2023,Приволжский ФО,Пермский край,1516,68.06,104626.81,21801,32033,5717312.25,1.83,262.25,30517
Май 2023,Приволжский ФО,Пермский край,1632,59.59,139578.83,19700,33060,5307180.0,2.63,269.4,31428
Июнь 2023,Приволжский ФО,Пермский край,1634,26.05,65635.74,8636,33153,2319284.16,2.83,268.56,31519
Июль 2023,Приволжский ФО,Пермский край,1573,13.81,42289.2,4583,33193,1329849.11,3.18,290.17,31620
Август 2023,Приволжский ФО,Пермский край,1458,16.5,28740.11,5294,32087,1466332.12,1.96,276.98,30629
Сентябрь 2023,Приволжский ФО,Пермский край,1562,71.94,171138.71,23749,33013,6482527.04,2.64,272.96,31451
Октябрь 2023,Приволжский ФО,Пермский край,1451,71.74,157499.7,22762,31729,6938312.84,2.27,304.82,30278
Ноябрь 2023,Приволжский ФО,Пермский край,1618,68.67,100675.3,22743,33120,6711686.73,1.5,295.11,31502
Декабрь 2023,Приволжский ФО,Пермский край,1582,48.96,84084.31,15909,32495,4162589.85,2.02,261.65,30913
Январь 2024,Приволжский ФО,Пермский край,1688,69.35,229431.98,23921,34494,7016268.51,3.27,293.31,32806
Февраль 2024,Приволжский ФО,Пермский край,1711,69.64,206887.35,24355,34973,7061001.6,2.93,289.92,33262
Март 2024,Приволжский ФО,Пермский край,1633,70.85,134522.06,25373,35813,8152852.36,1.65,321.32,34180
Апрель 2024,Приволжский ФО,Пермский край,1624,70.69,247967.15,24821,35113,7653307.14,3.24,308.34,33489
Май 2024,Приволжский ФО,Пермский край,1695,56.25,222365.58,19931,35434,6426750.95,3.46,322.45,33739
Июнь 2024,Приволжский ФО,Пермский край,1707,27.14,102294.17,9482,34938,3118724.62,3.28,328.91,33231
Июль 2024,Приволжский ФО,Пермский край,1801,13.47,32150.78,4904,36407,1435302.72,2.24,292.68,34606
Август 2024,Приволжский ФО,Пермский край,1700,16.47,44698.75,5879,35698,1817022.53,2.46,309.07,33998
Сентябрь 2024,Приволжский ФО,Пермский край,1624,73.78,182043.5,25760,34915,8350619.2,2.18,324.17,33291
Октябрь 2024,Приволжский ФО,Пермский край,1695,69.02,259321.67,23959,34714,7627108.06,3.4,318.34,33019
Ноябрь 2024,Приволжский ФО,Пермский край,1604,69.25,253808.8,23792,34357,7314374.56,3.47,307.43,32753
Декабрь 2024,Приволжский ФО,Пермский край,1751,46.09,163772.62,16192,35133,5249122.56,3.12,324.18,33382
Январь 2022,Приволжский ФО,Оренбургская обл.,974,64.74,71906.59,13391,20685,3507638.54,2.05,261.94,19711
Февраль 2022,Приволжский ФО,Оренбургская обл.,985,67.29,119063.37,14488,21532,3597080.64,3.31,248.28,20547
Март 2022,Приволжский ФО,Оренбургская обл.,1000,71.27,94486.58,14802,20769,3676520.76,2.57,248.38,19769
Апрель 2022,Приволжский ФО,Оренбургская обл.,962,68.87,127035.77,14486,21034,3814888.1,3.33,263.35,20072
Май 2022,Приволжский ФО,Оренбургская обл.,1017,59.68,52623.43,12193,20431,2989967.46,1.76,245.22,19414
Июнь 2022,Приволжский ФО,Оренбургская обл.,970,27.56,24048.15,5811,21088,1328627.04,1.81,228.64,20118
Июль 2022,Приволжский ФО,Оренбургская обл.,1042,13.12,22798.13,2837,21625,695065.0,3.28,245.0,20583
Август 2022,Приволжский ФО,Оренбургская обл.,1015,16.72,27810.19,3498,20923,923926.74,3.01,264.13,19908
Сентябрь 2022,Приволжский ФО,Оренбургская обл.,943,73.23,111247.67,15146,20684,3444200.4,3.23,227.4,19741
Октябрь 2022,Приволжский ФО,Оренбургская обл.,996,72.11,124316.58,15502,21498,4010212.38,3.1,258.69,20502
Ноябрь 2022,Приволжский ФО,Оренбургская обл.,998,73.15,124729.36,15370,21012,3826054.1,3.26,248.93,20014
Декабрь 2022,Приволжский ФО,Оренбургская обл.,979,48.32,48104.04,10201,21113,2643079.1,1.82,259.1,20134
Январь 2023,Приволжский ФО,Оренбургская обл.,1101,67.28,69841.11,15359,22829,4182102.11,1.67,272.29,21728
Февраль 2023,Приволжский ФО,Оренбургская обл.,1087,69.53,72288.7,15823,22758,4178537.84,1.73,264.08,21671
Март 2023,Приволжский ФО,Оренбургская обл.,1133,70.27,87201.26,16071,22871,4613823.39,1.89,287.09,21738
Апрель 2023,Приволжский ФО,Оренбургская обл.,1156,65.85,99626.77,15273,23195,4350514.05,2.29,284.85,22039
Май 2023,Приволжский ФО,Оренбургская обл.,1134,59.69,121181.21,14006,23466,3705847.54,3.27,264.59,22332
Июнь 2023,Приволжский ФО,Оренбургская обл.,1144,26.14,41645.61,6068,23217,1519912.64,2.74,250.48,22073
Июль 2023,Приволжский ФО,Оренбургская обл.,1122,12.73,15151.66,2866,22514,769119.76,1.97,268.36,21392
Август 2023,Приволжский ФО,Оренбургская обл.,1110,16.1,20743.91,3625,22520,1026926.25,2.02,283.29,21410
Сентябрь 2023,Приволжский ФО,Оренбургская обл.,1111,74.51,87317.84,17054,22889,4259407.04,2.05,249.76,21778
Октябрь 2023,Приволжский ФО,Оренбургская обл.,1088,73.37,96364.48,16464,22441,4118140.32,2.34,250.13,21353
Ноябрь 2023,Приволжский ФО,Оренбургская обл.,1045,72.34,91591.42,16413,22690,4649310.51,1.97,283.27,21645
Декабрь 2023,Приволжский ФО,Оренбургская обл.,1139,44.61,55850.04,10566,23687,3068683.38,1.82,290.43,22548
Январь 2024,Приволжский ФО,Оренбургская обл.,1295,68.96,122805.1,17918,25984,5482370.46,2.24,305.97,24689
Февраль 2024,Приволжский ФО,Оренбургская обл.,1145,69.11,141546.68,17399,25177,5165937.09,2.74,296.91,24032
Март 2024,Приволжский ФО,Оренбургская обл.,1242,66.84,172517.4,16957,25371,5180702.64,3.33,305.52,24129
Апрель 2024,Приволжский ФО,Оренбургская обл.,1208,70.57,128157.68,17969,25463,5317745.86,2.41,295.94,24255
Май 2024,Приволжский ФО,Оренбургская обл.,1189,57.03,123906.7,14105,24733,4441100.3,2.79,314.86,23544
Июнь 2024,Приволжский ФО,Оренбургская обл.,1265,26.84,65045.81,6843,25499,2026349.16,3.21,296.12,24234
Июль 2024,Приволжский ФО,Оренбургская обл.,1141,13.39,25777.95,3283,24519,972752.9,2.65,296.3,23378
Август 2024,Приволжский ФО,Оренбургская обл.,1188,16.24,30197.24,4031,24824,1114289.33,2.71,276.43,23636
Сентябрь 2024,Приволжский ФО,Оренбургская обл.,1209,70.86,103723.89,18351,25898,5517228.15,1.88,300.65,24689
Апрель 2024,Уральский ФО,Тюменская обл.,1323,69.36,124185.61,19375,27935,5776075.0,2.15,298.12,26612
Октябрь 2024,Приволжский ФО,Оренбургская обл.,1188,72.63,104115.34,18566,25563,5479754.9,1.9,295.15,24375
Ноябрь 2024,Приволжский ФО,Оренбургская обл.,1169,68.85,153567.28,17527,25457,5388325.61,2.85,307.43,24288
Декабрь 2024,Приволжский ФО,Оренбургская обл.,1218,46.35,95951.57,11908,25693,3286012.6,2.92,275.95,24475
Январь 2022,Уральский ФО,Свердловская обл.,1839,68.97,258998.78,27221,39468,7442493.61,3.48,273.41,37629
Февраль 2022,Уральский ФО,Свердловская обл.,1910,67.6,125399.66,27701,40978,7165694.68,1.75,258.68,39068
Октябрь 2024,Уральский ФО,Тюменская обл.,1314,71.23,189107.83,19694,27649,6367267.14,2.97,323.31,26335
Март 2022,Уральский ФО,Свердловская обл.,1911,68.98,200514.23,27805,40310,7566574.65,2.65,272.13,38399
Апрель 2022,Уральский ФО,Свердловская обл.,1900,66.66,256959.55,27099,40654,7602353.46,3.38,280.54,38754
Май 2022,Уральский ФО,Свердловская обл.,1909,58.33,147999.47,23422,40156,6820252.18,2.17,291.19,38247
Июнь 2022,Уральский ФО,Свердловская обл.,1928,26.52,48811.36,10379,39137,2773372.59,1.76,267.21,37209
Июль 2022,Уральский ФО,Свердловская обл.,1865,13.05,46042.55,5075,38892,1434347.25,3.21,282.63,37027
Август 2022,Уральский ФО,Свердловская обл.,1948,16.39,37805.66,6723,41025,1672816.86,2.26,248.82,39077
Сентябрь 2022,Уральский ФО,Свердловская обл.,1811,73.98,111902.86,29053,39272,7362030.2,1.52,253.4,37461
Октябрь 2022,Уральский ФО,Свердловская обл.,1848,74.38,132189.99,29357,39469,7641039.96,1.73,260.28,37621
Ноябрь 2022,Уральский ФО,Свердловская обл.,1948,70.02,224306.05,27393,39122,7527048.54,2.98,274.78,37174
Декабрь 2022,Уральский ФО,Свердловская обл.,1917,45.9,155418.79,17977,39167,4738377.66,3.28,263.58,37250
Январь 2023,Уральский ФО,Свердловская обл.,2047,68.8,302139.51,30725,44659,9155742.75,3.3,297.99,42612
Февраль 2023,Уральский ФО,Свердловская обл.,2180,69.74,290596.22,30565,43828,8726613.15,3.33,285.51,41648
Март 2023,Уральский ФО,Свердловская обл.,2041,72.29,219559.48,31254,43235,8712677.58,2.52,278.77,41194
Апрель 2023,Уральский ФО,Свердловская обл.,2130,68.84,167041.87,30325,44052,9384374.5,1.78,309.46,41922
Май 2023,Уральский ФО,Свердловская обл.,2119,57.11,153872.76,25425,44521,8056165.5,1.91,316.86,42402
Июнь 2023,Уральский ФО,Свердловская обл.,2123,25.81,65713.63,11205,43416,3129220.35,2.1,279.27,41293
Август 2023,Уральский ФО,Свердловская обл.,2139,16.48,44159.57,7390,44847,2361474.5,1.87,319.55,42708
Сентябрь 2023,Уральский ФО,Свердловская обл.,2116,77.18,229378.21,34353,44511,10332351.81,2.22,300.77,42395
Октябрь 2023,Уральский ФО,Свердловская обл.,2132,72.22,319780.92,32544,45063,10151775.36,3.15,311.94,42931
Ноябрь 2023,Уральский ФО,Свердловская обл.,2124,70.53,284311.03,31782,45062,9540638.58,2.98,300.19,42938
Декабрь 2023,Уральский ФО,Свердловская обл.,2159,47.47,156873.91,21091,44431,6403016.69,2.45,303.59,42272
Январь 2024,Уральский ФО,Свердловская обл.,2327,67.16,291724.5,32780,48810,10094273.2,2.89,307.94,46483
Февраль 2024,Уральский ФО,Свердловская обл.,2173,68.48,290478.62,31784,46414,9982083.04,2.91,314.06,44241
Март 2024,Уральский ФО,Свердловская обл.,2118,70.35,263833.38,32696,46477,10265890.08,2.57,313.98,44359
Апрель 2024,Уральский ФО,Свердловская обл.,2197,65.13,260854.86,31100,47752,10603856.0,2.46,340.96,45555
Май 2024,Уральский ФО,Свердловская обл.,2294,57.4,279227.28,27601,48087,9215421.88,3.03,333.88,45793
Июнь 2024,Уральский ФО,Свердловская обл.,2265,27.01,97305.83,12939,47907,4267799.76,2.28,329.84,45642
Июль 2024,Уральский ФО,Свердловская обл.,2345,13.1,40103.33,6291,48027,1995190.65,2.01,317.15,45682
Март 2023,Сибирский ФО,Новосибирская обл.,1868,69.8,137690.12,27381,39229,7097429.01,1.94,259.21,37361
Август 2024,Уральский ФО,Свердловская обл.,2237,16.33,64056.65,8004,49015,2785071.84,2.3,347.96,46778
Сентябрь 2024,Уральский ФО,Свердловская обл.,2288,72.48,310018.68,33927,46809,10473604.17,2.96,308.71,44521
Октябрь 2024,Уральский ФО,Свердловская обл.,2243,74.72,209458.99,35152,47045,11322107.68,1.85,322.09,44802
Ноябрь 2024,Уральский ФО,Свердловская обл.,2182,69.62,332449.34,33465,48069,11463770.4,2.9,342.56,45887
Декабрь 2024,Уральский ФО,Свердловская обл.,2293,48.43,214273.75,23843,49232,8178387.43,2.62,343.01,46939
Ноябрь 2022,Сибирский ФО,Иркутская обл.,1243,68.99,96328.08,17496,25361,4480375.68,2.15,256.08,24118
Январь 2022,Уральский ФО,Челябинская обл.,1561,64.32,109588.71,20383,31690,5591260.73,1.96,274.31,30129
Февраль 2022,Уральский ФО,Челябинская обл.,1483,70.82,155930.52,22626,31949,5928917.04,2.63,262.04,30466
Март 2022,Уральский ФО,Челябинская обл.,1551,71.57,203423.76,22377,31267,5828760.96,3.49,260.48,29716
Апрель 2022,Уральский ФО,Челябинская обл.,1524,65.58,186102.79,20586,31391,5473611.54,3.4,265.89,29867
Май 2022,Уральский ФО,Челябинская обл.,1502,58.82,112234.93,18363,31220,4543924.35,2.47,247.45,29718
Июнь 2022,Уральский ФО,Челябинская обл.,1490,27.87,54265.1,8562,30724,2223979.5,2.44,259.75,29234
Июль 2022,Уральский ФО,Челябинская обл.,1519,12.99,38233.0,4170,32103,1165640.1,3.28,279.53,30584
Август 2022,Уральский ФО,Челябинская обл.,1525,16.78,47301.76,5277,31454,1391228.28,3.4,263.64,29929
Сентябрь 2022,Уральский ФО,Челябинская обл.,1428,73.18,142882.1,22379,30581,5559614.97,2.57,248.43,29153
Октябрь 2022,Уральский ФО,Челябинская обл.,1575,73.87,124329.79,23371,31639,6343356.82,1.96,271.42,30064
Ноябрь 2022,Уральский ФО,Челябинская обл.,1532,72.84,218634.51,23441,32182,6300706.39,3.47,268.79,30650
Декабрь 2022,Уральский ФО,Челябинская обл.,1578,47.6,118354.59,15387,32327,3998465.82,2.96,259.86,30749
Май 2023,Сибирский ФО,Иркутская обл.,1293,58.08,87810.29,16059,27651,4670760.15,1.88,290.85,26358
Январь 2023,Уральский ФО,Челябинская обл.,1644,67.14,180301.19,23374,34814,6556407.0,2.75,280.5,33170
Февраль 2023,Уральский ФО,Челябинская обл.,1644,70.87,199783.38,23878,33694,6912919.78,2.89,289.51,32050
Март 2023,Уральский ФО,Челябинская обл.,1647,66.92,192961.43,23186,34648,7016779.18,2.75,302.63,33001
Апрель 2023,Уральский ФО,Челябинская обл.,1694,69.99,133092.41,23891,34135,7353171.98,1.81,307.78,32441
Май 2023,Уральский ФО,Челябинская обл.,1658,58.4,146980.52,20348,34843,5609943.6,2.62,275.7,33185
Июнь 2023,Уральский ФО,Челябинская обл.,1690,26.62,92285.6,9310,34975,2779686.7,3.32,298.57,33285
Июль 2023,Уральский ФО,Челябинская обл.,1590,12.95,31202.71,4532,34998,1258173.84,2.48,277.62,33408
Август 2023,Уральский ФО,Челябинская обл.,1611,17.07,55934.72,5825,34126,1787051.75,3.13,306.79,32515
Сентябрь 2023,Уральский ФО,Челябинская обл.,1673,71.96,155564.03,24701,34327,7337926.07,2.12,297.07,32654
Октябрь 2023,Уральский ФО,Челябинская обл.,1534,68.83,218890.6,23142,33622,6819021.72,3.21,294.66,32088
Ноябрь 2023,Уральский ФО,Челябинская обл.,1584,70.12,120481.63,23834,33991,6547914.82,1.84,274.73,32407
Декабрь 2023,Уральский ФО,Челябинская обл.,1730,47.25,105528.72,16488,34897,4908312.72,2.15,297.69,33167
Январь 2024,Уральский ФО,Челябинская обл.,1717,63.66,241818.35,23820,37418,7196974.8,3.36,302.14,35701
Февраль 2024,Уральский ФО,Челябинская обл.,1811,68.02,272616.63,26181,38491,8065580.67,3.38,308.07,36680
Март 2024,Уральский ФО,Челябинская обл.,1777,69.54,182968.92,26836,38592,8549949.6,2.14,318.6,36815
Апрель 2024,Уральский ФО,Челябинская обл.,1771,67.95,178400.76,26168,38511,7893838.88,2.26,301.66,36740
Май 2024,Уральский ФО,Челябинская обл.,1823,59.63,239028.44,22928,38452,7221402.88,3.31,314.96,36629
Июнь 2024,Уральский ФО,Челябинская обл.,1809,27.81,99056.9,10809,38868,3463527.87,2.86,320.43,37059
Июль 2024,Уральский ФО,Челябинская обл.,1842,13.04,24345.95,5074,38913,1612314.24,1.51,317.76,37071
Август 2024,Уральский ФО,Челябинская обл.,1844,17.32,35138.14,6540,37765,1941333.6,1.81,296.84,35921
Сентябрь 2024,Уральский ФО,Челябинская обл.,1797,70.88,116442.12,26486,37368,7711398.9,1.51,291.15,35571
Октябрь 2024,Уральский ФО,Челябинская обл.,1927,69.9,168198.06,27070,38728,8994548.9,1.87,332.27,36801
Ноябрь 2024,Уральский ФО,Челябинская обл.,1728,71.92,179888.46,26841,37322,8607103.47,2.09,320.67,35594
Декабрь 2024,Уральский ФО,Челябинская обл.,1771,47.02,147824.57,17467,37150,5620705.93,2.63,321.79,35379
Январь 2022,Уральский ФО,Тюменская обл.,1115,64.61,58434.66,15348,23755,3869844.72,1.51,252.14,22640
Февраль 2022,Уральский ФО,Тюменская обл.,1046,69.94,130129.27,15828,22632,4238738.4,3.07,267.8,21586
Март 2022,Уральский ФО,Тюменская обл.,1084,69.59,124660.09,16211,23296,4436302.26,2.81,273.66,22212
Апрель 2022,Уральский ФО,Тюменская обл.,1181,68.16,113976.5,16196,23762,4487263.76,2.54,277.06,22581
Июнь 2022,Уральский ФО,Тюменская обл.,1051,26.55,49254.5,6116,23036,1501661.48,3.28,245.53,21985
Июль 2022,Уральский ФО,Тюменская обл.,1065,13.4,22746.47,3054,22792,760751.4,2.99,249.1,21727
Август 2022,Уральский ФО,Тюменская обл.,1042,16.36,14317.8,3663,22394,906189.57,1.58,247.39,21352
Сентябрь 2022,Уральский ФО,Тюменская обл.,1166,70.08,120954.99,16583,23663,4156528.95,2.91,250.65,22497
Октябрь 2022,Уральский ФО,Тюменская обл.,1154,72.71,127053.59,17224,23689,4411583.12,2.88,256.13,22535
Ноябрь 2022,Уральский ФО,Тюменская обл.,1067,72.9,91429.52,16968,23277,4712862.0,1.94,277.75,22210
Декабрь 2022,Уральский ФО,Тюменская обл.,1122,48.32,47825.11,11062,22894,3007868.42,1.59,271.91,21772
Январь 2023,Уральский ФО,Тюменская обл.,1196,67.4,88923.33,17478,25932,4912891.02,1.81,281.09,24736
Февраль 2023,Уральский ФО,Тюменская обл.,1183,71.91,170206.17,18228,25349,5654690.16,3.01,310.22,24166
Март 2023,Уральский ФО,Тюменская обл.,1179,67.58,77623.96,16851,24936,4912909.05,1.58,291.55,23757
Апрель 2023,Уральский ФО,Тюменская обл.,1242,65.24,134258.35,16574,25406,4972531.48,2.7,300.02,24164
Май 2023,Уральский ФО,Тюменская обл.,1206,57.3,126729.67,14266,24898,3935704.08,3.22,275.88,23692
Июнь 2023,Уральский ФО,Тюменская обл.,1234,27.47,58803.62,7140,25993,2107656.6,2.79,295.19,24759
Июль 2023,Уральский ФО,Тюменская обл.,1162,13.74,16668.72,3436,25012,1041795.2,1.6,303.2,23850
Август 2023,Уральский ФО,Тюменская обл.,1196,16.16,40491.54,4198,25983,1310405.7,3.09,312.15,24787
Сентябрь 2023,Уральский ФО,Тюменская обл.,1181,74.25,180808.21,19323,26025,5479036.65,3.3,283.55,24844
Ноябрь 2023,Уральский ФО,Тюменская обл.,1204,69.13,155051.99,17303,25030,4800371.29,3.23,277.43,23826
Декабрь 2023,Уральский ФО,Тюменская обл.,1173,45.85,89761.48,11463,25002,3520058.04,2.55,307.08,23829
Январь 2024,Уральский ФО,Тюменская обл.,1298,68.69,107992.36,19488,28371,5713881.6,1.89,293.2,27073
Февраль 2024,Уральский ФО,Тюменская обл.,1343,73.28,116905.64,20354,27777,6876802.44,1.7,337.86,26434
Март 2024,Уральский ФО,Тюменская обл.,1277,70.73,147373.5,19632,27757,6015244.8,2.45,306.4,26480
Май 2024,Уральский ФО,Тюменская обл.,1295,56.7,154098.94,15673,27643,4698138.48,3.28,299.76,26348
Июнь 2024,Уральский ФО,Тюменская обл.,1379,26.61,67240.57,7387,27762,2454035.27,2.74,332.21,26383
Июль 2024,Уральский ФО,Тюменская обл.,1374,13.48,25253.61,3846,28536,1262680.26,2.0,328.31,27162
Август 2024,Уральский ФО,Тюменская обл.,1374,17.58,30885.37,4985,28358,1660503.5,1.86,333.1,26984
Сентябрь 2024,Уральский ФО,Тюменская обл.,1275,74.37,198987.69,20252,27232,6439730.96,3.09,317.98,25957
Ноябрь 2024,Уральский ФО,Тюменская обл.,1372,67.12,152989.69,18840,28070,5543104.8,2.76,294.22,26698
Декабрь 2024,Уральский ФО,Тюменская обл.,1366,48.04,110274.72,13639,28393,4410988.99,2.5,323.41,27027
Январь 2022,Сибирский ФО,Новосибирская обл.,1692,66.21,164970.18,24160,36491,5934179.2,2.78,245.62,34799
Февраль 2022,Сибирский ФО,Новосибирская обл.,1775,68.95,178071.37,25830,37462,6719674.5,2.65,260.15,35687
Март 2022,Сибирский ФО,Новосибирская обл.,1638,71.56,146107.84,25512,35652,6012668.16,2.43,235.68,34014
Апрель 2022,Сибирский ФО,Новосибирская обл.,1770,70.85,149764.7,26209,36993,6483320.33,2.31,247.37,35223
Май 2022,Сибирский ФО,Новосибирская обл.,1814,54.16,114780.07,19851,36653,5034213.6,2.28,253.6,34839
Июнь 2022,Сибирский ФО,Новосибирская обл.,1824,27.74,66769.47,10424,37578,2782061.36,2.4,266.89,35754
Июль 2022,Сибирский ФО,Новосибирская обл.,1741,13.13,30027.61,4903,37342,1177553.51,2.55,240.17,35601
Август 2022,Сибирский ФО,Новосибирская обл.,1649,16.03,35924.4,5753,35894,1575631.64,2.28,273.88,34245
Сентябрь 2022,Сибирский ФО,Новосибирская обл.,1751,75.41,119647.67,27038,35855,6916050.02,1.73,255.79,34104
Октябрь 2022,Сибирский ФО,Новосибирская обл.,1720,74.42,227334.31,27139,36468,6666695.35,3.41,245.65,34748
Ноябрь 2022,Сибирский ФО,Новосибирская обл.,1822,68.99,182617.85,25340,36731,6738666.2,2.71,265.93,34909
Декабрь 2022,Сибирский ФО,Новосибирская обл.,1729,46.46,79873.77,17212,37047,4512642.16,1.77,262.18,35318
Январь 2023,Сибирский ФО,Новосибирская обл.,1943,64.13,255776.92,25567,39868,7589819.62,3.37,296.86,37925
Февраль 2023,Сибирский ФО,Новосибирская обл.,1895,68.8,249894.45,28119,40871,8499811.32,2.94,302.28,38976
Апрель 2023,Сибирский ФО,Новосибирская обл.,1851,70.85,247041.85,28268,39899,7768611.76,3.18,274.82,38048
Май 2023,Сибирский ФО,Новосибирская обл.,1996,58.58,118860.69,24088,41120,6322377.36,1.88,262.47,39124
Июнь 2023,Сибирский ФО,Новосибирская обл.,1889,27.78,87917.72,11267,40559,3368494.99,2.61,298.97,38670
Июль 2023,Сибирский ФО,Новосибирская обл.,1974,13.12,44458.57,5341,40716,1467279.52,3.03,274.72,38742
Август 2023,Сибирский ФО,Новосибирская обл.,1850,16.44,62204.88,6496,39515,1890725.76,3.29,291.06,37665
Сентябрь 2023,Сибирский ФО,Новосибирская обл.,1867,76.31,180448.7,30521,39997,9113570.6,1.98,298.6,38130
Октябрь 2023,Сибирский ФО,Новосибирская обл.,2018,69.88,138031.57,29102,41647,8072021.74,1.71,277.37,39629
Ноябрь 2023,Сибирский ФО,Новосибирская обл.,1936,71.16,195788.0,29031,40797,7559382.09,2.59,260.39,38861
Декабрь 2023,Сибирский ФО,Новосибирская обл.,1966,46.77,178045.83,19401,41482,5346721.59,3.33,275.59,39516
Январь 2024,Сибирский ФО,Новосибирская обл.,2036,64.29,184480.8,28851,44877,8661070.2,2.13,300.2,42841
Февраль 2024,Сибирский ФО,Новосибирская обл.,2088,70.96,283345.03,30574,43087,8772292.08,3.23,286.92,40999
Март 2024,Сибирский ФО,Новосибирская обл.,2071,67.75,138521.62,29590,43676,8344675.9,1.66,282.01,41605
Апрель 2024,Сибирский ФО,Новосибирская обл.,2149,69.32,255072.18,30421,43885,9412257.4,2.71,309.4,41736
Май 2024,Сибирский ФО,Новосибирская обл.,2109,59.63,278876.77,27017,45308,8349603.85,3.34,309.05,43199
Июнь 2024,Сибирский ФО,Новосибирская обл.,2228,26.75,54707.02,11967,44739,3552403.95,1.54,296.85,42511
Июль 2024,Сибирский ФО,Новосибирская обл.,2252,13.23,40730.62,6021,45511,1894447.44,2.15,314.64,43259
Август 2024,Сибирский ФО,Новосибирская обл.,2192,16.65,58089.2,7332,44039,2296015.8,2.53,313.15,41847
Сентябрь 2024,Сибирский ФО,Новосибирская обл.,2222,73.35,295543.19,33067,45082,10480254.98,2.82,316.94,42860
Октябрь 2024,Сибирский ФО,Новосибирская обл.,2039,71.76,280496.58,31807,44325,9381156.58,2.99,294.94,42286
Ноябрь 2024,Сибирский ФО,Новосибирская обл.,2186,72.27,206167.73,31951,44211,9679235.94,2.13,302.94,42025
Декабрь 2024,Сибирский ФО,Новосибирская обл.,2082,47.82,224066.48,20740,43373,6609630.6,3.39,318.69,41291
